"";"n";"fig1_main_rows_removed";"fig1c_lr_cleaned";"mon6_dg";"nork62398";"p6_smith_dg";"shep_071795";"unknown26"
"107";106;1,00393700787402;0,17032967032967;1,00595238095238;0,0166666666666667;0,409722222222222;1,10909090909091;0,713541666666667
"108";107;1,00393700787402;0,17032967032967;1,00595238095238;0,05;0,423611111111111;1,16363636363636;0,671875
"109";108;1,00393700787402;0,137362637362637;1,00595238095238;0,05;0,298611111111111;1,18181818181818;0,713541666666667
"110";109;1,00393700787402;0,17032967032967;1,00595238095238;0,116666666666667;0,284722222222222;1,18181818181818;0,682291666666667
"111";110;1,00393700787402;0,148351648351648;1,00595238095238;0,0166666666666667;0,256944444444444;1,14545454545455;0,671875
"112";111;1,00393700787402;0,126373626373626;0,982142857142857;0,0166666666666667;0,270833333333333;1,21818181818182;0,651041666666667
"113";112;1,00393700787402;0,137362637362637;0,922619047619048;0,0166666666666667;0,284722222222222;1,23636363636364;0,578125
"114";113;1,00393700787402;0,0934065934065934;0,875;0,0166666666666667;0,284722222222222;1,25454545454545;0,557291666666667
"115";114;1,00393700787402;0,0384615384615385;0,863095238095238;0,0166666666666667;0,270833333333333;1,23636363636364;0,557291666666667
"116";115;1,00393700787402;0,0384615384615385;0,863095238095238;0,0166666666666667;0,298611111111111;1,27272727272727;0,546875
"117";116;1,00393700787402;0,0384615384615385;0,898809523809524;0,0166666666666667;0,201388888888889;1,23636363636364;0,536458333333333
"118";117;1,00393700787402;0,0164835164835165;1,00595238095238;0,0166666666666667;0,215277777777778;1,27272727272727;0,421875
"119";118;1,00393700787402;0,00549450549450549;0,982142857142857;0,0166666666666667;0,215277777777778;1,30909090909091;0,380208333333333
"120";119;1,00393700787402;0,00549450549450549;0,910714285714286;0,0166666666666667;0,173611111111111;1,30909090909091;0,421875
"121";120;1,00393700787402;0,0274725274725275;0,851190476190476;0,0166666666666667;0,201388888888889;1,30909090909091;0,473958333333333
"122";121;1,00393700787402;0,0384615384615385;0,851190476190476;0,05;0,215277777777778;1,30909090909091;0,463541666666667
"123";122;1,00393700787402;0,0384615384615385;0,839285714285714;0,0166666666666667;0,256944444444444;1,30909090909091;0,442708333333333
"124";123;1,00393700787402;0,0274725274725275;0,839285714285714;0,0166666666666667;0,340277777777778;1,30909090909091;0,473958333333333
"125";124;1,00393700787402;0,0164835164835165;0,827380952380952;0,0166666666666667;0,395833333333333;1,29090909090909;0,494791666666667
"126";125;1,00393700787402;0,00549450549450549;0,791666666666667;0,0166666666666667;0,479166666666667;1,21818181818182;0,546875
"127";126;1,00393700787402;0,00549450549450549;0,81547619047619;0,0166666666666667;0,520833333333333;1,2;0,484375
"128";127;1,00393700787402;0,00549450549450549;0,791666666666667;0,0166666666666667;0,451388888888889;1,23636363636364;0,432291666666667
"129";128;1,00393700787402;0,00549450549450549;0,755952380952381;0,0166666666666667;0,451388888888889;1,27272727272727;0,401041666666667
"130";129;1,00393700787402;0,0494505494505495;0,767857142857143;0,0166666666666667;0,395833333333333;1,25454545454545;0,369791666666667
"131";130;1,00393700787402;0,0934065934065934;0,68452380952381;0,05;0,409722222222222;1,23636363636364;0,234375
"132";131;1,00393700787402;0,126373626373626;0,744047619047619;0,0166666666666667;0,354166666666667;1,21818181818182;0,203125
"133";132;1,00393700787402;0,159340659340659;0,720238095238095;0,0166666666666667;0,3125;1,23636363636364;0,192708333333333
"134";133;1,00393700787402;0,214285714285714;0,636904761904762;0,0166666666666667;0,3125;1,23636363636364;0,307291666666667
"135";134;1,00393700787402;0,214285714285714;0,68452380952381;0,0166666666666667;0,326388888888889;1,25454545454545;0,244791666666667
"136";135;1,00393700787402;0,192307692307692;0,732142857142857;0,0166666666666667;0,354166666666667;1,29090909090909;0,161458333333333
"137";136;1,00393700787402;0,104395604395604;0,744047619047619;0,05;0,409722222222222;1,30909090909091;0,119791666666667
"138";137;1,00393700787402;0,0934065934065934;0,767857142857143;0,0166666666666667;0,409722222222222;1,30909090909091;0,130208333333333
"139";138;1,00393700787402;0,0604395604395604;0,68452380952381;0,0166666666666667;0,354166666666667;1,30909090909091;0,171875
"140";139;1,00393700787402;0,0164835164835165;0,672619047619048;0,0166666666666667;0,354166666666667;1,29090909090909;0,119791666666667
"141";140;1,00393700787402;0,00549450549450549;0,68452380952381;0,0166666666666667;0,409722222222222;1,25454545454545;0,0885416666666667
"142";141;1,00393700787402;0,00549450549450549;0,68452380952381;0,05;0,451388888888889;1,16363636363636;0,171875
"143";142;1,00393700787402;0,0164835164835165;0,636904761904762;0,05;0,423611111111111;1,07272727272727;0,255208333333333
"144";143;1,00393700787402;0,0384615384615385;0,636904761904762;0,05;0,381944444444444;1,07272727272727;0,203125
"145";144;1,00393700787402;0,0494505494505495;0,613095238095238;0,05;0,340277777777778;1,09090909090909;0,182291666666667
"146";145;1,00393700787402;0,0824175824175824;0,601190476190476;0,0833333333333333;0,354166666666667;1;0,192708333333333
"147";146;1,00393700787402;0,0604395604395604;0,541666666666667;0,0833333333333333;0,270833333333333;1,18181818181818;0,140625
"148";147;1,00393700787402;0,0384615384615385;0,505952380952381;0,0833333333333333;0,243055555555556;1,25454545454545;0,0885416666666667
"149";148;1,00393700787402;0,0934065934065934;0,470238095238095;0,0833333333333333;0,298611111111111;1,25454545454545;0,119791666666667
